Date,BPR:1,"BPR:1,1,1","BPR:10,10,3",BPR:300,FGOR,FOPR,WBHP:INJ,WBHP:PROD,WGIR:INJ,WGIR:PROD,WGIT:INJ,WGIT:PROD,WGOR:PROD,WGPR:INJ,WGPR:PROD,WGPT:INJ,WGPT:PROD,WOIR:INJ,WOIR:PROD,WOIT:INJ,WOIT:PROD,WOPR:INJ,WOPR:PROD,WOPT:INJ,WOPT:PROD,WWIR:INJ,WWIR:PROD,WWIT:INJ,WWIT:PROD,WWPR:INJ,WWPR:PROD,WWPT:INJ,WWPT:PROD
2015-12-01,6180.55322265625,6180.55322265625,4369.0673828125,4369.0673828125,1.2823861837387085,20000.0,6458.70751953125,2715.902099609375,100000.0,0.0,33400000.0,0.0,1.2823861837387085,-0.0,25647.72265625,-0.0,8430116.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,6680000.0,0.0,0.0,0.0,0.0,-0.0,1.3275300261739176e-05,-0.0,0.0074612889438867569
2016-01-01,6218.68798828125,6218.68798828125,4437.74462890625,4437.74462890625,1.2822709083557129,20000.0,6492.68701171875,2778.441162109375,100000.0,0.0,36500000.0,0.0,1.2822709083557129,-0.0,25645.419921875,-0.0,9225124.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,7300000.0,0.0,0.0,0.0,0.0,-0.0,1.1201153938600328e-05,-0.0,0.0078085246495902538
2016-02-01,6262.07958984375,6262.07958984375,4505.4990234375,4505.4990234375,1.2815937995910645,20000.0,6532.74658203125,2839.783935546875,100000.0,0.0,39600000.0,0.0,1.2815937995910645,-0.0,25631.875,-0.0,10019712.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,7920000.0,0.0,0.0,0.0,0.0,-0.0,9.1414176495163701e-06,-0.0,0.0080919088795781136
2016-02-29,6292.74072265625,6292.74072265625,4566.203125,4566.203125,1.2806679010391235,20000.0,6560.689453125,2894.53076171875,100000.0,0.0,42400000.0,0.0,1.2806679010391235,-0.0,25613.357421875,-0.0,10736886.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,8480000.0,0.0,0.0,0.0,0.0,-0.0,7.2831603574741166e-06,-0.0,0.008295837789773941
2016-03-31,6338.390625,6338.390625,4631.0732421875,4631.0732421875,1.2794387340545654,20000.0,6604.04150390625,2952.86376953125,100000.0,0.0,45500000.0,0.0,1.2794387340545654,-0.0,25588.775390625,-0.0,11530138.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,9100000.0,0.0,0.0,0.0,0.0,-0.0,5.2829805099463556e-06,-0.0,0.0084596099331974983
2016-04-30,6382.060546875,6382.060546875,4693.08447265625,4693.08447265625,1.2781885862350464,20000.0,6645.80810546875,3008.547119140625,100000.0,0.0,48500000.0,0.0,1.2781885862350464,-0.0,25563.771484375,-0.0,12297051.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,9700000.0,0.0,0.0,0.0,0.0,-0.0,3.3563064789632335e-06,-0.0,0.0085602989420294762
2016-05-31,6426.63427734375,6426.63427734375,4756.52197265625,4756.52197265625,1.2769312858581543,20000.0,6688.6953125,3065.48486328125,100000.0,0.0,51600000.0,0.0,1.2769312858581543,-0.0,25538.626953125,-0.0,13088748.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,10320000.0,0.0,0.0,0.0,0.0,-0.0,1.3701981060876278e-06,-0.0,0.0086027747020125389
2016-06-30,6470.77978515625,6470.77978515625,4817.9384765625,4817.9384765625,1.2758035659790039,20000.0,6731.45361328125,3120.62109375,100000.0,0.0,54600000.0,0.0,1.2758035659790039,-0.0,25516.0703125,-0.0,13854230.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,10920000.0,0.0,0.0,0.0,0.0,-0.0,7.1509982330890956e-17,-0.0,0.0086027747020125389
2016-07-31,6516.14306640625,6516.14306640625,4879.5751953125,4879.5751953125,1.2747660875320435,20000.0,6775.57470703125,3175.969970703125,100000.0,0.0,57700000.0,0.0,1.2747660875320435,-0.0,25495.3203125,-0.0,14644585.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,11540000.0,0.0,0.0,0.0,0.0,-0.0,8.0704663939679296e-16,-0.0,0.0086027747020125389
2016-08-31,6560.8759765625,6560.8759765625,4940.0390625,4940.0390625,1.2738684415817261,20000.0,6819.21728515625,3230.295654296875,100000.0,0.0,60800000.0,0.0,1.2738684415817261,-0.0,25477.369140625,-0.0,15434383.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,12160000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2016-09-30,6605.05224609375,6605.05224609375,4999.1376953125,4999.1376953125,1.2731300592422485,20000.0,6862.48388671875,3283.436279296875,100000.0,0.0,63800000.0,0.0,1.2731300592422485,-0.0,25462.6015625,-0.0,16198261.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,12760000.0,0.0,0.0,0.0,0.0,-0.0,1.8522022870797687e-15,-0.0,0.0086027747020125389
2016-10-31,6650.4033203125,6650.4033203125,5057.60546875,5057.60546875,1.272497296333313,20000.0,6907.001953125,3336.029052734375,100000.0,0.0,66900000.0,0.0,1.272497296333313,-0.0,25449.947265625,-0.0,16987210.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,13380000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2016-11-30,6695.79345703125,6695.79345703125,5116.56640625,5116.56640625,1.2719959020614624,20000.0,6951.70166015625,3389.1044921875,100000.0,0.0,69900000.0,0.0,1.2719959020614624,-0.0,25439.91796875,-0.0,17750408.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,13980000.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0086027747020125389
2016-12-31,6742.65966796875,6742.65966796875,5175.73583984375,5175.73583984375,1.2715837955474854,20000.0,6997.9287109375,3442.382080078125,100000.0,0.0,73000000.0,0.0,1.2715837955474854,-0.0,25431.677734375,-0.0,18538790.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,14600000.0,0.0,0.0,0.0,0.0,-0.0,1.3497844826576436e-15,-0.0,0.0086027747020125389
